x1,x2,y
3,1,70
1,1,50
2,7,87
4,0,60
2,9,70
8,8,67
8,2,57
7,3,71
3,0,62
2,4,58
4,0,80
2,9,53
2,4,54
5,5,74
3,6,74
8,8,48
6,3,95
3,6,87
9,7,60
3,6,71
9,1,88
8,8,92
4,9,75
1,0,40
3,1,72
4,4,49
6,8,77
4,4,97
1,5,78
9,0,49
1,0,83
7,2,71
6,9,64
1,1,84
1,7,48
5,5,84
4,5,65
5,8,98
4,6,95
4,1,65
1,6,46
7,0,81
6,5,57
1,4,76
6,6,94
8,8,72
9,1,58
8,8,76
5,5,97
2,7,43
4,7,57
3,1,64
8,7,91
1,6,96
5,2,43
6,4,83
5,3,70
7,3,53
7,3,43
3,4,89
4,9,50
6,1,53
4,0,97
1,3,95
1,2,42
6,4,77
8,7,73
6,9,47
9,8,90
5,6,54
8,4,62
5,4,63
1,5,62
3,7,54
2,6,76
7,5,83
9,7,98
8,4,69
7,5,47
9,0,48
3,9,63
7,6,94
5,8,84
3,4,47
4,6,43
6,5,54
2,6,99
2,0,94
7,8,85
8,7,80
9,5,84
8,6,85
1,1,91
4,2,59
6,1,82
6,9,64
3,5,51
2,6,40
8,6,87
3,7,47
3,4,54
8,4,86
9,0,73
2,3,85
9,2,58
3,5,82
5,8,87
4,7,83
2,0,77
4,5,49
1,4,58
8,7,92
8,3,49
2,4,71
6,3,57
5,7,71
8,2,51
2,0,42
5,9,78
6,6,57
9,4,89
3,9,67
1,6,54
4,4,40
9,9,53
6,3,92
4,9,41
3,8,87
7,2,94
1,3,87
1,0,57
2,8,79
6,5,58
7,8,60
2,8,76
1,7,92
7,3,96
3,5,44
9,6,90
7,3,64
1,0,45
6,7,68
9,2,41
9,3,55
8,4,56
2,2,58
7,6,50
1,3,94
6,6,75
2,3,89
3,4,43
6,8,64
9,9,67
1,0,55
5,8,92
2,6,93
5,2,46
6,1,48
3,2,69
2,5,80
3,3,87
6,3,70
8,4,41
1,7,79
2,0,90
6,7,62
4,4,72
7,5,47
1,9,92
3,3,98
9,8,84
4,4,58
7,7,44
6,9,46
7,6,60
1,1,88
2,6,82
5,9,92
7,8,44
8,5,99
1,7,91
4,4,58
3,8,41
5,9,80
7,6,71
9,3,48
3,7,42
6,5,42
9,3,83
2,3,56
1,4,85
9,3,87
3,8,67
5,7,61
3,7,89
1,4,94
9,5,94
7,9,58
6,3,54
5,4,58
9,7,51
7,9,53
3,9,45
1,2,46
3,5,79
4,5,64
6,1,71
6,6,88
2,6,58
6,9,47
8,3,59
2,3,79
1,0,65
1,0,78
7,5,52
4,5,71
1,8,85
6,9,79
6,6,60
3,3,88
3,9,52
1,6,54
5,2,57
2,9,77
4,2,93
1,3,99
6,6,78
6,4,44
2,8,84
5,2,65
6,7,95
7,3,96
1,9,66
7,7,82
6,2,97
7,0,86
2,7,96
3,1,87
8,9,93
7,6,77
7,7,74
6,8,90
2,8,44
8,6,63
3,6,54
3,9,62
9,4,67
5,0,95
4,7,93
9,7,77
6,7,59
8,1,80
1,2,57
6,9,75
2,0,61
4,6,43
1,8,51
4,2,52
6,8,91
9,2,91
3,1,95
8,3,63
2,4,54
3,8,92
3,0,49
6,1,70
5,1,97
5,6,97
5,7,80
7,4,94
8,5,52
9,1,99
1,8,72
9,4,72
5,5,54
1,7,49
2,1,99
1,1,89
9,2,79
7,9,73
8,8,45
1,2,87
2,0,80
9,6,87
1,1,42
3,6,56
5,0,56
1,5,97
2,4,53
7,4,45
2,0,66
3,4,87
9,9,96
1,4,56
3,1,97
4,5,90
7,3,84
1,3,60
4,3,79
3,6,79
6,1,86
3,8,53
4,8,89
7,9,77
6,0,77
4,4,73
3,8,75
6,5,71
5,5,71
7,7,41
3,3,88
5,5,97
4,4,48
8,4,91
8,2,95
2,3,63
5,1,49
4,4,65
4,9,41
4,4,72
4,7,53
3,1,79
4,6,68
1,0,73
1,1,47
7,3,40
7,8,65
4,3,99
9,3,69
3,5,50
7,9,97
7,1,65
7,9,91
3,3,87
9,7,50
9,5,61
2,3,94
8,9,41
5,3,50
8,8,63
7,9,74
8,1,64
1,8,79
6,4,56
1,8,83
4,5,44
4,5,96
3,5,75
5,6,41
2,9,58
3,3,53
9,6,57
1,0,48
7,2,78
7,3,80
9,3,66
5,6,47
3,5,78
4,3,75
9,6,81
8,5,41
8,7,48
9,0,61
6,4,43
1,8,94
3,3,78
9,9,43
6,2,84
5,0,64
2,5,67
7,3,65
2,9,42
9,5,42
9,4,56
9,5,89
6,8,92
1,8,75
6,7,90
3,4,62
8,3,60
8,2,95
6,5,66
6,3,64
2,4,98
8,7,60
1,7,90
9,4,79
3,4,49
8,6,79
1,7,58
9,0,63
1,4,59
6,8,91
1,1,54
1,6,83
9,9,89
2,3,98
5,3,73
6,1,92
8,6,93
3,0,88
1,5,59
4,1,84
2,5,43
6,0,71
1,0,55
2,4,97
4,7,56
2,9,70
6,7,55
3,4,40
9,9,50
7,1,77
1,4,68
5,6,63
5,6,42
5,2,78
8,7,91
6,7,65
7,8,64
8,4,54
5,5,63
7,9,49
7,9,41
7,4,44
2,3,79
2,3,55
4,9,45
1,3,61
1,9,83
4,4,87
1,3,99
1,9,93
4,7,74
5,3,99
1,5,62
4,7,62
2,8,98
2,6,88
6,8,42
8,9,86
7,9,73
6,5,86
5,4,74
3,1,96
1,6,92
6,2,53
8,8,62
8,4,45
7,0,84
8,8,48
9,1,53
1,5,56
3,3,92
6,7,95
5,3,70
3,2,69
4,9,40
9,4,84
8,7,93
4,5,97
9,8,65
3,3,76
9,6,53
9,8,61
3,9,65
9,3,68
3,9,60
4,8,47
7,6,73
9,9,63
8,2,75
3,2,89
2,0,75
4,9,66
4,4,53
7,3,66
2,3,46
4,5,51
3,2,79
1,3,52
2,7,76
2,6,41
6,6,43
6,9,66
4,3,74
1,8,42
3,8,78
3,1,86
6,4,52
9,5,68
9,1,69
7,9,89
4,6,99
8,0,59
6,9,77
2,3,93
2,5,94
3,7,60
3,0,66
6,8,95
1,3,94
1,5,88
9,1,65
9,9,87
3,2,76
6,3,46
5,1,51
9,3,84
7,1,86
3,8,74
3,4,96
2,7,96
3,7,46
3,7,82
2,1,68
1,1,57
9,5,71
6,6,48
6,8,63
2,6,84
3,1,93
5,0,84
1,1,56
7,2,59
9,9,71
4,2,60
6,2,50
2,8,60
4,8,95
2,0,84
4,4,48
9,9,40
3,2,91
6,4,90
7,2,93
5,9,42
5,0,59
7,2,43
1,7,41
8,8,72
9,1,55
1,3,65
9,7,89
4,1,76
7,1,83
9,4,55
5,6,82
4,0,54
6,4,66
2,8,79
1,3,99
1,4,44
7,3,40
6,2,48
1,5,53
8,0,42
5,5,59
2,4,84
5,8,57
3,9,40
8,7,61
2,0,90
5,5,85
5,6,86
2,5,49
3,1,67
8,4,67
2,4,59
7,6,60
6,2,83
4,1,89
7,1,93
9,0,72
4,6,75
8,6,70
9,6,41
2,4,78
2,5,96
8,7,59
6,5,82
9,5,86
5,8,83
3,2,53
5,7,87
6,8,55
6,3,58
9,4,82
6,2,51
2,2,86
2,8,95
7,5,70
4,4,86
9,6,82
6,1,87
9,4,88
1,7,53
9,0,78
2,8,73
8,9,49
6,0,97
4,4,62
5,0,57
7,2,58
4,1,60
1,4,77
5,9,87
5,6,45
3,3,67
1,5,46
4,5,88
3,8,78
9,3,89
6,9,73
2,1,76
1,5,45
1,3,68
5,8,53
8,1,76
3,5,45
7,3,72
1,9,72
2,8,79
6,3,74
9,5,83
8,8,47
6,2,54
9,3,54
5,0,75
5,0,71
6,9,82
1,4,77
7,5,58
9,7,61
2,8,53
9,6,72
1,3,41
5,1,98
3,8,96
9,8,62
4,6,52
6,5,54
8,1,57
6,6,57
6,0,54
1,1,60
9,9,50
5,9,52
3,4,62
6,9,56
7,9,70
8,0,57
6,5,95
5,5,44
5,3,60
8,0,61
3,8,69
8,4,76
9,4,55
8,1,41
4,9,87
2,1,72
7,9,48
7,5,79
4,6,98
7,0,53
8,9,74
9,9,80
2,8,42
5,2,74
1,6,71
3,5,57
8,8,92
7,0,89
9,7,51
4,1,94
6,6,68
6,8,41
1,3,84
3,1,58
4,8,90
5,2,77
5,1,43
4,3,90
1,0,78
1,8,82
4,7,40
8,2,62
9,9,88
1,0,70
2,4,58
7,5,54
1,0,64
5,6,63
8,2,92
4,8,78
8,0,92
8,2,68
3,1,58
7,5,41
3,7,92
6,5,81
6,0,48
6,3,90
8,4,77
1,5,70
8,5,45
9,6,99
6,4,59
5,1,75
3,4,77
3,5,54
5,6,97
4,6,48
1,0,87
5,6,56
2,0,94
9,2,79
4,5,40
7,4,47
6,2,73
9,0,97
8,3,90
6,4,57
2,4,55
3,2,63
9,8,44
3,9,67
2,6,88
2,5,61
3,2,45
8,3,91
1,3,79
1,1,52
7,7,83
7,8,80
8,8,65
3,8,67
8,8,85
8,3,90
1,6,65
5,5,66
7,9,50
3,2,63
4,6,91
7,4,88
9,1,91
2,7,73
8,8,69
2,2,86
3,3,49
3,7,54
9,5,46
8,6,72
4,9,54
2,2,90
2,9,92
5,4,83
4,4,93
6,2,67
5,4,61
9,2,85
8,5,79
3,0,65
7,6,97
6,2,58
8,3,53
8,1,89
5,4,99
7,8,45
3,6,66
3,8,81
3,9,75
2,6,85
9,4,54
8,7,63
8,5,80
2,3,88
3,3,62
4,0,90
8,0,76
2,2,78
9,8,94
2,8,70
8,6,72
2,3,45
4,2,52
2,1,42
9,4,45
5,8,87
8,7,71
8,4,75
2,8,44
7,9,57
1,2,80
1,5,60
2,5,60
3,0,81
3,0,40
8,3,57
5,0,97
8,8,49
8,2,88
9,8,73
3,9,91
5,1,66
3,1,43
7,8,51
4,8,76
6,2,85
9,6,52
3,8,85
7,0,89
7,4,43
8,9,75
7,6,94
4,9,69
1,9,44
9,1,51
4,9,74
1,5,59
3,3,41
2,8,98
9,8,96
6,4,56
8,7,85
8,0,52
9,6,47
5,7,40
7,0,75
4,6,79
7,2,69
1,3,52
7,1,78
9,9,98
5,3,98
5,9,79
8,3,70
8,3,93
6,2,77
6,0,85
4,3,99
5,3,75
6,7,94
4,3,76
5,4,91
3,1,48
1,5,48
2,4,66
7,6,70
4,0,87
7,3,42
5,3,71
3,0,50
4,6,94
6,9,54
4,3,50
8,7,92
4,5,80
5,3,70
6,6,42
9,3,70
6,3,60
9,0,94
7,9,64
8,4,64
2,0,65
7,7,70
5,0,81
1,5,40
1,4,51
6,2,79
4,3,93
4,6,50
2,3,88
1,8,80
8,9,94
8,6,58
2,4,81
5,6,67
9,7,54
8,5,75
1,7,68
2,7,96
6,1,62
9,2,95
2,6,81
9,5,74
5,4,69
2,7,98
4,3,91
4,1,86
9,2,55
4,9,53
3,2,53
6,9,53
6,4,99
2,9,87
8,1,58
5,8,54
1,3,94
9,8,43
5,4,47
6,3,87
1,6,50
4,4,62
4,6,82
8,7,89
1,4,54
3,6,61
5,6,81
4,1,64
6,0,67
4,7,98
4,1,83
5,5,48
9,1,75
2,5,92
7,4,67
8,5,88
6,6,97
3,1,62
4,4,60
8,4,40
6,8,82
7,3,99
3,2,53
1,5,67
1,6,62
1,7,42
2,5,97
2,9,82
9,2,48
9,7,47
5,9,99
7,8,51
1,7,49
6,8,94
6,4,53
1,1,74
7,9,59
3,6,67
1,3,44
7,7,49
1,7,42
8,2,80
2,5,72
9,1,85
3,1,97
7,4,84
3,2,68
5,0,77
7,8,48
3,8,99
1,6,71
4,9,63
5,0,45
2,2,60
8,4,94
7,8,41
6,9,70
5,9,89
5,8,79
2,3,69
3,6,41
7,6,72
4,5,50
4,6,88
1,5,90
2,6,63
4,5,71
9,3,77
2,8,61
5,1,77
4,7,57
6,6,46
7,4,66
7,4,49
8,3,55
8,7,78
6,4,98
1,4,42
9,4,43
7,1,94
6,6,89
7,9,58
5,0,44
1,2,89
8,0,52
3,2,61
5,9,82
6,9,58
8,9,80
9,4,41
8,9,87
9,9,43
7,6,91
8,1,76
7,7,93
2,0,78
4,2,42
7,2,76
9,8,72
1,0,91
9,5,67
1,9,89
9,3,69
6,4,97
2,3,41
4,4,79
5,6,60
5,5,40
6,2,61
5,6,41
4,6,92
4,6,47
3,3,48
6,5,88
6,0,83
2,3,49
1,4,41
1,6,59
6,3,58
8,6,62
4,5,99
1,7,42
6,3,80
8,4,83
8,3,67
1,9,56
1,7,83
1,9,53
1,2,57
4,8,53
9,5,70
2,9,87
5,2,58
3,1,93
7,2,82
6,8,58
6,5,49
4,3,78
4,8,86
8,5,69
8,5,93
1,6,95
4,0,88
8,2,92
4,3,47
9,3,67
7,2,40
3,1,76
3,5,56
6,7,95
7,8,57
4,8,45
1,6,54
8,8,92
6,4,73
9,1,53
9,1,53
9,5,53
3,5,71
9,3,60
4,4,95
1,5,40
9,6,69
2,4,60
5,5,56
9,3,50
9,4,48
7,0,62
6,6,70
2,1,91
3,4,60
5,0,59
8,4,73
1,2,64
1,4,95
3,6,52
5,8,95
6,9,94
7,3,73
2,2,53
6,9,96
3,6,78
7,2,98
1,0,52
4,6,98
4,1,57
4,2,89
4,3,94
3,8,85
9,9,42
7,3,42
4,3,64
2,8,70
9,4,45
6,6,42
4,6,40
8,5,70
9,8,47
5,3,48
8,5,78
1,6,40
6,3,45
3,9,88
4,9,42
5,0,95
7,5,90
1,3,64
1,3,80
2,9,73
8,8,89
1,8,92
1,4,88
2,7,98
6,6,73
2,2,86
3,9,97
7,6,58
3,7,52
4,9,47
7,3,84
1,5,41
7,2,62
3,6,41
7,2,69
7,4,92
5,0,63
7,6,45
1,0,91
5,1,46
9,2,52
8,8,93
4,7,91
3,7,48
2,5,57
3,9,99
8,2,88
7,4,70
8,4,79
3,8,66
7,9,83
6,3,61
3,8,81
4,6,64
1,5,76
2,3,70
3,9,63
2,1,76
8,7,56
3,1,80
3,6,59
5,6,95
8,4,44
3,3,79
7,7,77
2,2,91
9,5,40
6,1,54
5,8,75
3,8,90
5,7,91
9,7,83
1,4,46
7,3,63
2,5,60
5,3,70
5,5,48
4,1,48
8,1,83
9,1,97
3,4,79
7,6,47
7,4,71
8,5,42
6,4,58
3,5,69
5,9,81
8,3,94
7,2,43
3,1,73
6,6,74
6,0,41
2,8,70
6,5,86
3,3,78
8,0,46
5,2,60
4,3,94
3,2,92
9,4,78
4,3,90
8,1,57
2,8,79
5,3,87
2,1,70
8,6,69
3,4,52
1,5,99
9,3,93
7,7,87
1,8,58
7,3,88
3,3,63
5,2,64
7,6,63
6,0,89
5,0,77
7,2,50
3,7,85
7,6,82
9,6,89
1,1,66
5,7,84
9,3,93
6,9,64
8,5,74
3,3,84
1,0,62
2,1,42
3,7,88
2,9,54
8,8,76
9,0,40
5,2,76
7,3,47
8,1,97
2,0,57
7,3,80
3,9,72
3,1,41
6,7,68
5,3,46
3,2,47
4,8,96
5,3,72
1,9,57
7,0,58
3,1,52
5,8,79
7,5,85
3,6,99
6,4,84
7,9,57
2,2,67
2,8,48
7,6,72
9,8,68
2,5,98
5,5,49
9,8,41
8,7,54
2,8,40
8,4,50
1,3,79
2,8,61
9,1,42
4,6,86
1,1,71
3,2,94
4,9,71
7,2,73
8,1,97
3,9,81
6,1,57
2,1,74
1,4,75
5,6,98
9,7,60
9,5,63
1,7,89
7,9,49
2,4,52
2,1,65
6,0,42
5,0,68
4,8,68
8,3,95
6,3,53
2,7,57
4,3,61
2,1,43
7,7,71
8,0,83
7,4,70
8,6,59
6,2,46
6,4,47
7,7,73
4,6,80
4,3,64
6,6,96
9,0,77
1,4,67
2,2,82
8,8,68
4,2,54
7,7,93
5,4,62
4,2,84
5,6,89
8,4,91
1,6,81
1,4,74
8,6,85
2,1,65
5,5,91
6,0,56
7,0,62
3,5,92
4,8,47
1,4,84
9,0,49
5,2,56
4,4,63
6,0,76
7,9,78
2,5,64
2,0,60
8,6,82
3,0,76
8,0,93
4,7,45
3,3,60
9,4,45
6,4,96
4,9,56
8,6,91
2,1,62
3,6,88
9,9,44
6,4,89
3,3,44
3,3,84
5,5,52
9,2,93
6,6,55
4,7,41
7,1,56
5,1,48
1,5,79
8,5,73
5,6,71
9,2,56
8,3,75
2,8,94
5,0,89
3,9,97
4,1,89
9,5,56
6,1,83
3,2,57
1,6,90
4,9,75
4,3,48
9,5,52
4,3,41
5,4,65
2,3,69
3,3,82
9,9,46
2,8,85
3,6,84
5,1,66
4,6,51
8,2,81
9,7,53
2,0,54
4,6,77
5,8,91
9,2,58
3,6,78
7,9,47
6,7,76
7,8,49
5,7,51
5,0,75
1,2,93
3,8,41
5,1,84
9,5,66
7,8,90
5,8,73
7,6,95
1,6,54
2,8,63
9,8,55
1,8,93
3,3,83
3,6,63
6,2,79
6,0,90
5,7,48
9,6,92
8,8,51
1,1,99
2,0,91
6,3,71
6,4,87
2,7,49
2,0,94
5,9,88
7,7,61
5,8,75
8,2,77
1,3,91
1,5,77
3,2,70
1,8,87
2,3,84
3,5,79
9,5,96
4,8,81
3,0,97
7,5,68
6,6,42
8,3,98
1,1,63
7,4,45
5,6,88
7,5,42
3,5,86
8,9,77
6,3,94
4,6,97
3,6,94
1,6,89
9,2,47
6,3,99
5,1,85
3,5,59
8,3,97
6,0,98
6,0,51
3,5,84
8,8,84
8,3,99
5,8,63
8,9,56
7,6,79
7,3,82
4,2,96
9,5,60
1,4,74
2,8,96
2,9,44
6,0,43
9,3,46
6,3,44
2,0,63
4,8,50
9,5,82
7,6,57
5,4,84
8,5,67
5,2,83
8,6,84
6,2,87
7,2,43
7,7,73
8,3,53
8,5,45
8,7,46
2,7,70
7,2,93
5,1,54
1,2,83
2,6,77
5,5,64
5,1,75
6,7,54
3,8,82
3,1,64
1,5,46
2,6,60
5,3,69
4,1,94
7,6,40
3,8,83
3,2,85
8,5,57
4,6,78
1,9,61
8,5,74
4,3,72
8,3,62
8,7,45
8,9,50
7,7,48
4,7,60
3,5,90
6,5,40
2,4,49
4,9,44
3,2,70
6,4,61
9,5,83
2,4,65
5,4,55
9,9,89
2,7,91
7,8,88
7,5,94
1,2,91
1,3,79
5,0,65
2,9,68
3,1,51
5,2,89
7,5,56
5,9,87
9,7,93
8,1,82
1,8,54
4,1,80
9,1,81
2,7,61
3,7,74
8,3,59
3,5,83
7,9,97
5,9,78
1,9,96
9,2,52
9,0,66
7,1,74
4,3,98
8,5,43
1,8,78
5,8,76
8,0,84
1,3,80
9,3,68
3,8,88
7,5,50
1,6,92
2,5,85
6,4,99
4,0,49
1,3,58
1,4,86
3,8,50
9,9,77
2,9,67
5,8,58
8,5,82
5,5,40
3,7,43
7,0,64
6,2,77
4,5,62
7,1,69
2,0,61
8,8,90
1,0,43
1,2,73
6,5,50
1,3,85
3,1,75
6,5,68
5,2,79
6,5,53
2,2,54
7,0,99
2,3,83
1,6,52
7,0,52
7,6,80
1,5,78
3,1,75
3,0,55
6,4,68
1,6,48
2,0,70
8,8,99
1,2,91
7,4,71
5,4,85
4,9,93
3,6,86
3,0,46
4,9,56
2,9,64
6,3,45
7,9,77
4,2,76
6,9,59
4,9,76
4,8,67
5,8,63
9,8,44
6,4,75
7,6,91
7,2,57
2,7,89
2,6,84
9,6,74
2,1,89
3,8,48
5,2,69
5,9,84
4,8,89
7,9,57
1,7,87
9,7,65
4,4,79
9,7,95
1,5,59
6,4,55
6,1,73
2,0,46
5,3,91
9,5,79
3,7,61
4,8,67
2,4,89
8,9,67
1,9,49
5,3,84
3,3,83
5,6,59
7,1,47
7,3,73
4,4,98
2,0,65
7,7,54
8,3,94
5,3,94
9,4,55
6,5,89
8,3,86
9,9,45
8,6,94
1,1,72
6,7,70
3,7,97
1,2,80
1,6,59
2,1,94
2,0,98
4,8,55
2,8,85
7,9,81
8,9,99
6,8,41
1,8,79
5,8,58
8,7,56
3,8,82
4,3,84
8,7,62
5,7,47
3,2,77
8,6,99
4,8,53
7,8,90
7,6,67
1,8,57
5,3,44
1,9,92
5,5,63
4,3,62
3,1,93
5,8,66
5,3,69
2,9,48
1,0,62
9,2,58
6,1,41
9,2,54
6,1,78
9,8,63
9,2,69
6,2,72
7,9,49
6,0,74
3,1,52
4,4,98
2,3,93
4,6,98
4,0,88
8,2,81
1,3,70
5,7,57
2,1,61
3,6,87
9,4,54
2,6,59
3,3,77
3,1,64
6,9,61
2,0,55
3,0,98
7,5,73
2,5,86
9,7,41
4,9,60
7,8,90
8,6,72
1,6,92
4,8,49
1,0,95
1,0,90
9,1,86
1,5,47
3,3,82
8,8,64
9,4,58
2,4,78
6,2,58
6,6,43
2,3,71
4,2,67
3,4,75
4,0,64
5,2,80
8,2,52
4,4,64
4,7,67
3,9,56
5,7,50
8,1,75
7,5,67
2,1,85
1,3,83
9,8,74
1,7,96
3,9,40
6,3,45
6,6,62
6,4,61
3,9,90
1,6,60
2,5,62
8,8,56
1,1,61
7,6,47
1,9,87
7,2,60
6,8,56
5,8,50
9,9,42
5,2,87
1,4,58
9,7,70
5,5,72
9,8,51
8,8,82
9,1,47
3,3,82
9,2,68
6,0,57
1,4,56
1,0,52
9,7,47
3,5,50
5,1,72
2,1,84
7,7,64
5,3,48
3,5,68
1,8,92
8,4,42
5,2,42
9,6,71
1,9,40
7,2,62
8,8,78
2,1,57
7,9,43
9,5,72
1,2,72
6,2,48
3,4,94
5,1,74
6,2,55
5,7,89
1,9,41
6,2,76
7,3,42
8,9,61
5,6,49
9,9,81
2,5,41
2,0,64
2,0,59
7,3,91
5,5,68
6,9,59
9,2,72
3,7,55
7,8,79
1,2,93
7,3,91
8,5,47
5,9,86
1,7,75
7,5,81
4,8,99
3,6,48
6,2,66
8,4,54
3,7,40
1,6,73
4,9,47
1,5,97
5,7,81
6,6,71
3,0,84
4,9,92
3,3,70
3,7,73
3,1,65
1,4,49
5,1,54
6,1,99
8,6,63
7,1,96
9,6,63
2,1,68
3,1,62
2,2,59
3,4,92
2,1,44
5,4,99
2,0,73
4,6,45
8,5,71
1,1,43
8,5,56
7,9,90
7,8,71
8,9,83
7,3,58
6,2,91
6,4,47
6,0,44
2,6,57
8,3,45
6,9,41
3,6,91
6,5,88
5,9,42
4,8,44
1,3,59
5,6,74
8,6,45
9,6,79
4,2,96
4,7,59
3,9,97
9,0,85
4,9,56
6,6,42
6,6,77
7,9,65
3,6,84
4,9,72
6,2,66
1,0,69
9,5,74
5,6,88
3,8,55
7,9,47
2,7,95
4,6,69
8,1,91
6,5,93
2,9,81
4,1,47
9,0,57
2,4,68
9,8,70
7,2,40
8,8,94
1,5,44
2,2,79
2,4,49
9,8,73
3,8,80
7,7,93
5,4,91
5,7,69
7,1,47
9,2,56
4,7,61
6,2,93
2,9,43
3,3,56
3,2,55
7,3,79
4,6,64
3,9,47
3,9,45
1,1,65
7,8,81
7,8,64
4,0,47
9,7,44
4,2,96
7,7,92
4,4,68
7,9,54
5,7,66
7,0,65
6,5,71
1,3,53
5,8,88
7,6,67
6,2,53
9,3,55
2,0,52
8,4,73
6,8,62
3,4,71
5,7,64
5,5,49
9,9,98
5,9,40
9,9,96
8,0,95
1,9,51
3,2,78
9,8,45
9,2,88
3,3,45
7,7,56
7,5,51
6,5,46
8,8,82
5,4,77
3,1,83
8,2,93
8,9,99
2,3,83
2,3,48
1,8,92
9,2,54
6,6,93
6,0,68
9,7,43
6,2,45
3,5,96
6,7,97
5,9,65
3,5,55
5,5,77
8,5,46
3,4,68
6,4,65
9,8,45
8,2,98
7,6,68
1,6,85
3,1,98
3,6,99
3,6,56
8,0,87
5,8,86
6,4,91
5,8,76
6,9,95
9,9,41
4,1,76
2,6,41
4,9,87
9,5,71
2,2,72
9,9,89
2,0,64
3,1,64
1,6,61
7,0,72
9,1,95
9,6,75
3,0,43
6,3,68
6,5,53
3,6,63
1,1,94
8,3,75
8,8,91
6,9,74
7,0,67
8,1,56
4,9,63
6,5,54
5,4,79
5,5,54
4,0,96
6,0,46
1,1,69
1,5,77
5,9,84
7,5,66
6,6,42
7,1,47
1,1,95
1,8,90
2,4,58
5,5,56
5,9,54
8,2,86
7,7,67
5,5,79
7,5,47
3,6,68
8,7,60
7,4,55
5,5,52
2,7,86
9,5,50
4,1,96
4,4,45
9,3,60
7,8,48
7,9,90
6,4,88
5,9,77
8,0,92
2,2,41
7,5,52
1,6,96
1,8,61
8,8,63
6,1,87
9,5,87
8,5,53
4,7,79
6,8,71
9,2,80
6,2,81
1,6,46
2,1,99
6,1,52
1,6,58
8,5,92
1,9,50
2,1,41
7,1,43
5,2,97
1,6,83
9,5,50
4,4,87
5,0,89
7,6,43
4,7,73
2,0,73
8,2,87
5,6,44
9,8,51
8,8,48
1,8,80
8,7,74
3,9,63
1,3,76
3,4,51
3,2,98
8,9,47
3,9,80
4,1,40
9,0,60
3,4,42
3,6,73
5,7,60
7,8,61
8,7,46
4,9,96
9,3,61
1,3,65
5,5,48
5,9,72
5,0,98
2,1,52
6,4,89
3,6,78
7,8,97
1,9,84
5,7,82
3,4,48
8,1,85
2,7,95
6,7,73
6,9,75
2,2,95
4,0,74
5,8,88
4,5,61
6,7,93
9,0,66
2,0,56
7,0,61
2,4,71
7,4,92
5,1,78
3,5,67
4,5,52
4,3,59
4,9,71
9,0,92
1,6,63
8,9,75
7,1,82
8,8,52
9,6,91
4,8,92
2,5,51
